"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:45J4avUb9Ni0bnETYaYFVJ","luther (with sza)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","Kendrick Lamar, SZA","spotify:album:0hvT3yIEysuuvkK73vgdcW","GNX","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2024-11-22","https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58","1","3","177598","https://p.scdn.co/mp3-preview/c4ad75d1d4e58be0ecb8fd704c2b1421512eef67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","93","USUG12408496","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-27T13:25:06Z"
"spotify:track:5S8VwnB4sLi6W0lYTWYylu","hey now (feat. dody6)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:4VHa48wXlsDA2vWfgIi7cX","Kendrick Lamar, Dody6","spotify:album:0hvT3yIEysuuvkK73vgdcW","GNX","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2024-11-22","https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58","1","5","217478","https://p.scdn.co/mp3-preview/211269ae9b717b65497f3a443446fb1ba5eb21b3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USUG12408497","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-27T13:25:11Z"
"spotify:track:4K1Pg0FLno1ltzX3jeqT83","dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:6cUpFVxDYWed9WxtC4QgC5, spotify:artist:7J5UWTbsUFjoSQZQCQCqbQ, spotify:artist:757aE44tKEUQEqRuT6GnEB","Kendrick Lamar, Wallie the Sensei, Siete7x, Roddy Ricch","spotify:album:0hvT3yIEysuuvkK73vgdcW","GNX","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2024-11-22","https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58","1","8","131240","https://p.scdn.co/mp3-preview/25190c98e92a37d54521de87dec17e52ae5f8912?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USUG12408499","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-27T13:30:02Z"
"spotify:track:0RgjEkSbeuStKfT2Pa4Zai","reincarnated","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:0hvT3yIEysuuvkK73vgdcW","GNX","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2024-11-22","https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58","1","6","275740","https://p.scdn.co/mp3-preview/0c7c347692b80fa8e3ce02f35ef917253fa12439?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUG12408500","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-02-27T13:30:21Z"
"spotify:track:6gBFPUFcJLzWGx4lenP6h2","goosebumps","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:42WVQWuf1teDysXiOupIZt","Birds In The Trap Sing McKnight","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2016-09-16","https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce","1","9","243836","https://p.scdn.co/mp3-preview/5c45fee2743d39984ed2c1e2493d04a42d626f81?cid=9950ac751e34487dbbe027c4fd7f8e99","true","87","USSM11607555","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-03-02T18:51:00Z"
"spotify:track:53WWD2BBC6Jcip8wy5CniE","cLOUDs","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:4UbmhAK4sQ7FCNk9jr9Gex","cLOUDs","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2025-02-21","https://i.scdn.co/image/ab67616d0000b2739eda579e1df4f82bb796a9d1","1","1","242086","https://p.scdn.co/mp3-preview/009c30c8f33c390a1e06ef153707cfecf60cfcd1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUG12502000","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-03-04T22:53:03Z"
"spotify:track:0N3W5peJUQtI4eyR6GJT5O","King Kunta","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:7ycBtnsMtyVbbwTfJwRjSP","To Pimp A Butterfly","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2015-03-16","https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1","1","3","234693","https://p.scdn.co/mp3-preview/8da67ed9ab87b1bce93a71f11c50e022f4ed4b9e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USUM71502494","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-03-04T22:54:20Z"
"spotify:track:0PHrcmOtDE89ew4vVEaD7S","BANDIT","spotify:artist:4Gso3d4CscCijv0lmajZWs","Don Toliver","spotify:album:0Kzb3u6kMnOJOZXYFSk33F","HARDSTONE PSYCHO","spotify:artist:4Gso3d4CscCijv0lmajZWs","Don Toliver","2024-06-14","https://i.scdn.co/image/ab67616d0000b273c800e1a4a237cf8f085183c5","2","1","147706","https://p.scdn.co/mp3-preview/9ded52e9cf71a010c276497930c063ba691d7ba5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USAT22400561","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-03-05T07:21:52Z"
"spotify:track:6xcJyGpfZbuuiequtnlKt4","BUTTERFLY EFFECT","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:5qeikHFUgeO8f8HXm8k4cA","ASTROWORLD","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2018-08-02","https://i.scdn.co/image/ab67616d0000b2730eb9240c0c5bbba4a0495587","1","15","190557","https://p.scdn.co/mp3-preview/b4ed2c3390dc07d8692d8fb9be7ad689f08fabfa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USSM11704799","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-03-05T07:21:57Z"
"spotify:track:0wHFktze2PHC5jDt3B17DC","First Class","spotify:artist:2LIk90788K0zvyj2JJVwkJ","Jack Harlow","spotify:album:2eE8BVirX9VF8Di9hD90iw","Come Home The Kids Miss You","spotify:artist:2LIk90788K0zvyj2JJVwkJ","Jack Harlow","2022-05-06","https://i.scdn.co/image/ab67616d0000b2738e55edb69ca44a25b52b17bb","1","4","173947","https://p.scdn.co/mp3-preview/c05a687254dbdf50a9ab4879d85e54a7594e367f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USAT22203024","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2025-03-05T07:22:06Z"
